group_id,major,minor
restaurant,食品餐饮,外出吃饭
retail_convenience,食品餐饮,便利店
retail_supermarket,食品餐饮,食材采购
retail_drugstore,购物消费,药妆日化
retail_home_center,购物消费,日用百货
retail_electronics,购物消费,大额数码
retail_bookstore,购物消费,书籍文具
retail_cosmetics,购物消费,美妆护肤
retail_100yen,购物消费,日用百货
retail_sports,购物消费,运动户外
retail_baby_pet,购物消费,母婴宠物
retail_furniture,居家生活,家具家饰
clothing_store,购物消费,服饰鞋包
online_shopping,购物消费,日用百货
delivery_parcel,购物消费,运费其他
fee_service,购物消费,运费其他
food_delivery,食品餐饮,外卖
transport_train,出行交通,公共交通
transport_shinkansen,出行交通,火车
taxi,出行交通,打车租车
parking,出行交通,停车路费
gas_station,出行交通,加油充电
flight,出行交通,飞机
hotel,休闲娱乐,住宿
attraction_ticket,休闲娱乐,门票演出
entertainment_movie,休闲娱乐,电影娱乐
entertainment_show,休闲娱乐,门票演出
entertainment_place,休闲娱乐,其他
subscription,居家生活,App会员
rent,居家生活,房租
telecom,居家生活,话费宽带
utility_electric_water,居家生活,水费
utility_gas,居家生活,公共服务
public_service,居家生活,公共服务
education_admin,居家生活,公共服务
medical,居家生活,公共服务
